Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
INN09499,1,0,0,4,Meal Plan 1,0,Room_Type 1,14,2018,5,18,Offline,0,0,0,72,1,Not_Canceled
INN09500,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,2017,11,9,Online,0,0,0,91,1,Not_Canceled
INN09501,2,0,0,4,Meal Plan 1,0,Room_Type 4,92,2018,5,24,Offline,0,0,0,106.08,0,Not_Canceled
INN09502,1,0,0,1,Meal Plan 1,0,Room_Type 1,238,2018,10,13,Offline,0,0,0,80,0,Not_Canceled
INN09503,2,0,1,2,Meal Plan 1,0,Room_Type 1,19,2018,10,3,Online,0,0,0,149,0,Canceled
INN09504,1,0,0,2,Meal Plan 1,0,Room_Type 1,164,2017,10,2,Offline,0,0,0,100,0,Not_Canceled
INN09505,2,0,2,3,Meal Plan 1,0,Room_Type 1,71,2018,3,13,Online,0,0,0,73.95,0,Canceled
INN09506,2,0,0,2,Meal Plan 1,1,Room_Type 1,65,2018,9,6,Online,0,0,0,107.1,1,Not_Canceled
INN09507,2,0,1,3,Not Selected,0,Room_Type 1,76,2017,10,22,Online,0,0,0,58.76,1,Not_Canceled
INN09508,2,0,5,12,Meal Plan 1,0,Room_Type 1,81,2017,8,3,Online,0,0,0,76.5,1,Canceled
INN09509,2,0,2,3,Not Selected,1,Room_Type 1,3,2018,11,12,Online,0,0,0,99.1,1,Not_Canceled
INN09510,2,1,0,2,Meal Plan 1,0,Room_Type 1,7,2018,12,30,Online,0,0,0,158,0,Not_Canceled
INN09511,1,0,1,3,Meal Plan 1,0,Room_Type 4,7,2018,10,27,Aviation,0,0,0,110,0,Not_Canceled
INN09512,3,0,1,0,Meal Plan 1,0,Room_Type 4,7,2018,5,30,Online,0,0,0,141.95,1,Not_Canceled
INN09513,2,0,0,1,Not Selected,0,Room_Type 1,0,2018,7,29,Online,0,0,0,89,0,Not_Canceled
INN09514,2,0,0,1,Not Selected,0,Room_Type 1,1,2018,12,20,Online,0,0,0,79.5,3,Not_Canceled
INN09515,2,0,2,3,Meal Plan 1,0,Room_Type 1,35,2018,3,12,Offline,0,0,0,63,0,Not_Canceled
INN09516,2,0,0,2,Meal Plan 1,0,Room_Type 1,113,2018,6,17,Online,0,0,0,126.9,0,Canceled
INN09517,2,0,2,2,Meal Plan 1,0,Room_Type 1,12,2017,12,19,Offline,0,0,0,58,0,Not_Canceled
INN09518,2,0,0,1,Meal Plan 1,0,Room_Type 4,3,2018,9,22,Online,0,0,0,194,1,Not_Canceled
INN09519,2,0,0,2,Meal Plan 1,0,Room_Type 1,80,2018,4,8,Online,0,0,0,96.3,1,Not_Canceled
INN09520,2,0,2,1,Meal Plan 1,0,Room_Type 1,12,2018,1,2,Offline,0,0,0,82,0,Not_Canceled
INN09521,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2017,10,27,Online,0,0,0,120,0,Not_Canceled
INN09522,1,0,0,3,Meal Plan 1,0,Room_Type 1,0,2018,2,23,Corporate,0,0,0,66,0,Not_Canceled
INN09523,3,0,0,3,Meal Plan 1,0,Room_Type 4,38,2018,5,10,Online,0,0,0,159.3,0,Canceled
INN09524,2,0,2,3,Meal Plan 1,0,Room_Type 1,66,2017,9,20,Online,0,0,0,89.25,1,Not_Canceled
INN09525,2,0,2,4,Meal Plan 1,0,Room_Type 4,10,2017,9,5,Online,0,0,0,110.08,1,Not_Canceled
INN09526,2,0,0,2,Meal Plan 1,0,Room_Type 1,245,2018,6,17,Offline,0,0,0,75,0,Canceled
INN09527,2,0,0,1,Meal Plan 2,0,Room_Type 1,100,2017,10,16,Offline,0,0,0,108,0,Canceled
INN09528,2,0,1,2,Meal Plan 1,0,Room_Type 1,135,2017,9,14,Offline,0,0,0,90,0,Not_Canceled
INN09529,2,0,2,2,Meal Plan 1,0,Room_Type 1,10,2018,2,13,Offline,0,0,0,85,0,Not_Canceled
INN09530,3,0,2,0,Meal Plan 1,0,Room_Type 4,27,2018,4,24,Online,0,0,0,153,2,Not_Canceled
INN09531,2,0,1,3,Meal Plan 1,0,Room_Type 1,64,2018,4,4,Online,0,0,0,99.45,1,Not_Canceled
INN09532,2,0,0,2,Meal Plan 1,0,Room_Type 1,50,2018,11,9,Online,0,0,0,145.69,0,Canceled
INN09533,2,0,0,1,Meal Plan 1,0,Room_Type 1,2,2017,9,10,Complementary,0,0,0,0,1,Not_Canceled
INN09534,2,0,1,4,Meal Plan 1,0,Room_Type 1,206,2018,7,25,Online,0,0,0,90.95,0,Canceled
INN09535,2,0,0,1,Not Selected,0,Room_Type 1,1,2018,9,16,Online,0,0,0,159,0,Not_Canceled
INN09536,2,0,0,2,Meal Plan 1,0,Room_Type 1,301,2018,11,18,Offline,0,0,0,52,0,Canceled
INN09537,2,0,2,3,Not Selected,0,Room_Type 1,13,2018,8,21,Online,0,0,0,82.4,0,Not_Canceled
INN09538,2,0,0,1,Meal Plan 1,0,Room_Type 1,50,2018,5,21,Online,0,0,0,126.9,0,Canceled
INN09539,1,0,2,2,Meal Plan 1,0,Room_Type 7,6,2018,9,25,Online,0,0,0,211.41,1,Not_Canceled
INN09540,2,0,0,4,Meal Plan 1,0,Room_Type 1,29,2017,10,13,Online,0,0,0,96.3,1,Not_Canceled
INN09541,2,0,0,2,Meal Plan 2,0,Room_Type 1,102,2017,10,16,Offline,0,0,0,109,0,Not_Canceled
INN09542,2,0,2,1,Meal Plan 2,0,Room_Type 1,124,2017,8,8,Offline,0,0,0,94.5,0,Canceled
INN09543,2,0,0,1,Meal Plan 1,0,Room_Type 1,5,2018,6,14,Corporate,0,0,0,100,0,Not_Canceled
INN09544,2,0,0,4,Not Selected,0,Room_Type 1,346,2018,12,28,Online,0,0,0,72.25,0,Canceled
INN09545,2,0,0,2,Meal Plan 2,1,Room_Type 1,155,2018,6,14,Offline,0,0,0,119.24,0,Canceled
INN09546,2,2,1,3,Meal Plan 1,0,Room_Type 6,47,2018,8,22,Online,0,0,0,207.9,1,Canceled
INN09547,3,0,0,1,Meal Plan 1,0,Room_Type 4,111,2018,7,2,Online,0,0,0,146.7,0,Not_Canceled
INN09548,2,0,0,2,Meal Plan 1,0,Room_Type 1,317,2018,9,15,Offline,0,0,0,120,0,Canceled
INN09549,2,0,0,4,Meal Plan 1,0,Room_Type 1,12,2018,5,11,Offline,0,0,0,104,0,Not_Canceled
INN09550,2,0,1,2,Meal Plan 1,0,Room_Type 1,135,2017,9,14,Offline,0,0,0,90,0,Not_Canceled
INN09551,2,0,0,1,Meal Plan 1,0,Room_Type 1,105,2018,4,6,Offline,0,0,0,75,0,Canceled
INN09552,2,0,0,2,Meal Plan 1,0,Room_Type 4,15,2018,9,15,Online,0,0,0,141.68,1,Canceled
INN09553,1,0,0,2,Meal Plan 1,1,Room_Type 1,0,2017,10,27,Corporate,1,0,1,65,0,Not_Canceled
INN09554,2,0,2,3,Meal Plan 1,0,Room_Type 1,33,2018,9,8,Online,0,0,0,135.9,0,Canceled
INN09555,2,0,0,1,Meal Plan 1,0,Room_Type 1,3,2018,6,17,Online,0,0,0,141,2,Not_Canceled
INN09556,2,0,0,1,Meal Plan 1,0,Room_Type 1,105,2018,4,6,Offline,0,0,0,75,0,Canceled
INN09557,1,0,2,1,Meal Plan 1,0,Room_Type 1,116,2018,2,28,Offline,0,0,0,61,0,Canceled
INN09558,2,0,1,2,Meal Plan 1,0,Room_Type 1,128,2018,6,6,Online,0,0,0,126.9,1,Not_Canceled
INN09559,3,0,1,0,Meal Plan 1,0,Room_Type 1,36,2018,4,3,Online,0,0,0,150.3,0,Not_Canceled
INN09560,2,0,2,2,Meal Plan 2,0,Room_Type 1,160,2018,10,29,Online,0,0,0,125.1,2,Canceled
INN09561,2,0,0,1,Not Selected,0,Room_Type 1,60,2018,6,1,Online,0,0,0,116.1,0,Canceled
INN09562,2,0,2,2,Meal Plan 1,0,Room_Type 1,81,2017,10,25,Online,0,0,0,89.25,1,Canceled
INN09563,2,0,1,2,Meal Plan 1,0,Room_Type 1,66,2017,10,9,Offline,0,0,0,75,0,Canceled
INN09564,2,0,1,2,Meal Plan 2,0,Room_Type 1,161,2018,3,25,Offline,0,0,0,130,0,Canceled
INN09565,2,0,2,2,Meal Plan 1,0,Room_Type 4,33,2018,3,4,Online,0,0,0,97.4,1,Not_Canceled
INN09566,2,0,1,4,Meal Plan 1,1,Room_Type 4,17,2018,6,1,Online,0,0,0,144.84,1,Not_Canceled
INN09567,2,0,2,2,Meal Plan 1,0,Room_Type 1,165,2018,7,8,Online,0,0,0,99.45,1,Not_Canceled
INN09568,2,0,2,0,Meal Plan 1,0,Room_Type 4,135,2018,7,17,Online,0,0,0,127.8,2,Not_Canceled
INN09569,2,0,0,1,Meal Plan 1,0,Room_Type 1,62,2017,9,23,Offline,0,0,0,71.4,0,Not_Canceled
INN09570,2,0,0,3,Meal Plan 1,0,Room_Type 1,50,2018,1,14,Offline,0,0,0,52,1,Not_Canceled
INN09571,2,0,0,2,Meal Plan 2,0,Room_Type 1,239,2018,6,15,Offline,0,0,0,112.2,0,Canceled
INN09572,2,0,1,3,Not Selected,0,Room_Type 1,217,2018,9,29,Online,0,0,0,101.15,0,Canceled
INN09573,2,0,1,1,Not Selected,0,Room_Type 1,2,2018,1,4,Online,0,0,0,75,1,Not_Canceled
INN09574,2,0,1,2,Not Selected,0,Room_Type 1,53,2018,7,18,Online,0,0,0,72.76,2,Not_Canceled
INN09575,2,1,0,1,Meal Plan 1,0,Room_Type 1,125,2018,7,29,Online,0,0,0,130.5,1,Not_Canceled
INN09576,2,0,2,1,Not Selected,0,Room_Type 1,99,2018,7,9,Online,0,0,0,109.5,1,Not_Canceled
INN09577,2,0,0,2,Meal Plan 1,0,Room_Type 1,32,2018,9,9,Online,0,0,0,135.9,1,Not_Canceled
INN09578,1,0,0,2,Meal Plan 1,0,Room_Type 1,0,2018,2,26,Online,0,0,0,85,0,Canceled
INN09579,1,0,1,2,Meal Plan 1,0,Room_Type 1,111,2018,10,10,Offline,0,0,0,120,0,Not_Canceled
INN09580,2,0,1,3,Not Selected,0,Room_Type 1,100,2018,9,5,Online,0,0,0,91.51,1,Canceled
INN09581,2,0,0,2,Meal Plan 2,0,Room_Type 1,292,2018,7,21,Offline,0,0,0,115,0,Canceled
INN09582,2,0,2,3,Meal Plan 1,0,Room_Type 1,132,2017,10,25,Online,0,0,0,89.25,1,Not_Canceled
INN09583,1,0,0,1,Meal Plan 1,0,Room_Type 1,3,2018,4,7,Online,0,0,0,76,0,Not_Canceled
INN09584,2,0,0,1,Meal Plan 1,0,Room_Type 1,2,2018,3,9,Corporate,0,0,0,40,1,Not_Canceled
INN09585,2,0,0,2,Not Selected,0,Room_Type 1,4,2018,3,22,Online,0,0,0,89,1,Not_Canceled
INN09586,2,0,1,2,Meal Plan 1,0,Room_Type 1,193,2018,6,20,Offline,0,0,0,120,0,Canceled
INN09587,1,0,0,1,Meal Plan 1,0,Room_Type 1,14,2018,8,31,Online,0,0,0,124,1,Not_Canceled
INN09588,2,0,1,5,Meal Plan 1,0,Room_Type 1,28,2018,11,28,Online,0,0,0,88.4,2,Not_Canceled
INN09589,1,0,2,3,Meal Plan 1,0,Room_Type 1,115,2018,2,27,Offline,0,0,0,76,0,Not_Canceled
INN09590,1,0,0,2,Meal Plan 1,0,Room_Type 1,188,2018,6,15,Offline,0,0,0,130,0,Canceled
INN09591,1,0,1,2,Not Selected,0,Room_Type 1,6,2017,10,19,Online,0,0,0,87.78,1,Not_Canceled
INN09592,1,0,0,1,Not Selected,0,Room_Type 1,36,2018,12,22,Online,0,0,0,77.99,1,Not_Canceled
INN09593,2,0,1,3,Meal Plan 1,0,Room_Type 4,17,2018,12,29,Online,0,0,0,125.8,1,Not_Canceled
INN09594,2,0,1,0,Not Selected,0,Room_Type 1,0,2018,8,8,Online,0,0,0,93.81,0,Not_Canceled
INN09595,2,0,1,3,Not Selected,0,Room_Type 1,20,2018,8,29,Online,0,0,0,112.25,1,Not_Canceled
INN09596,3,0,0,2,Meal Plan 1,0,Room_Type 4,105,2018,9,16,Online,0,0,0,168.3,2,Not_Canceled
INN09597,2,0,2,0,Not Selected,0,Room_Type 1,174,2018,7,31,Online,0,0,0,94.5,0,Canceled
INN09598,2,0,0,2,Meal Plan 1,1,Room_Type 1,254,2017,10,13,Online,0,0,0,98.25,1,Canceled
INN09599,2,0,1,2,Meal Plan 1,0,Room_Type 1,280,2018,9,19,Offline,0,0,0,110,0,Canceled
INN09600,2,0,0,1,Meal Plan 1,0,Room_Type 1,54,2018,11,12,Offline,0,0,0,72,0,Not_Canceled
INN09601,2,1,2,4,Meal Plan 1,0,Room_Type 1,59,2018,7,24,Online,0,0,0,90.51,1,Not_Canceled
INN09602,3,0,0,1,Meal Plan 1,0,Room_Type 4,27,2018,2,18,Online,0,0,0,127,1,Not_Canceled
INN09603,1,0,1,1,Meal Plan 1,0,Room_Type 4,38,2018,2,22,Online,0,0,0,91.9,1,Not_Canceled
INN09604,1,0,1,1,Meal Plan 1,0,Room_Type 1,3,2018,2,1,Corporate,1,0,9,66,0,Not_Canceled
INN09605,2,0,0,2,Meal Plan 1,0,Room_Type 1,317,2018,9,15,Offline,0,0,0,120,0,Canceled
INN09606,2,0,2,1,Meal Plan 1,0,Room_Type 1,92,2018,6,26,Offline,0,0,0,80.75,1,Not_Canceled
INN09607,2,0,0,3,Meal Plan 1,0,Room_Type 4,11,2018,6,14,Corporate,0,0,0,90,0,Canceled
INN09608,2,0,2,1,Not Selected,0,Room_Type 1,1,2018,4,16,Online,0,0,0,89,2,Not_Canceled
INN09609,1,0,0,1,Meal Plan 1,0,Room_Type 1,9,2018,10,19,Corporate,1,5,48,65,0,Not_Canceled
INN09610,2,0,0,3,Meal Plan 1,0,Room_Type 1,259,2018,5,5,Offline,0,0,0,90,0,Canceled
INN09611,1,0,1,2,Meal Plan 1,0,Room_Type 4,129,2018,5,13,Online,0,0,0,121.5,1,Not_Canceled
INN09612,2,0,1,1,Meal Plan 2,0,Room_Type 1,247,2018,6,6,Offline,0,0,0,115,1,Canceled
INN09613,2,0,0,1,Meal Plan 2,0,Room_Type 1,219,2017,9,4,Offline,0,0,0,108,0,Canceled
INN09614,1,0,0,3,Meal Plan 1,0,Room_Type 2,184,2018,10,4,Online,0,0,0,101.05,0,Canceled
INN09615,1,0,0,2,Meal Plan 1,0,Room_Type 1,32,2017,11,20,Offline,0,0,0,73,0,Not_Canceled
INN09616,2,0,1,3,Meal Plan 1,0,Room_Type 1,69,2018,9,5,Online,0,0,0,135.9,1,Not_Canceled
INN09617,2,0,1,4,Meal Plan 1,0,Room_Type 1,77,2018,4,13,Online,0,0,0,75.16,1,Not_Canceled
INN09618,2,0,1,0,Meal Plan 1,0,Room_Type 1,286,2018,10,16,Offline,0,0,0,90,0,Canceled
INN09619,2,0,0,3,Meal Plan 1,0,Room_Type 1,8,2017,9,3,Online,0,0,0,117.67,2,Not_Canceled
INN09620,2,0,1,1,Meal Plan 1,0,Room_Type 1,128,2018,11,19,Online,0,0,0,90,0,Canceled
INN09621,2,0,0,2,Meal Plan 1,0,Room_Type 1,64,2018,5,17,Corporate,0,0,0,140,0,Canceled
INN09622,2,2,2,2,Meal Plan 1,0,Room_Type 6,21,2018,11,19,Online,0,0,0,147.9,2,Not_Canceled
INN09623,2,0,0,4,Meal Plan 1,0,Room_Type 4,238,2018,9,20,Offline,0,0,0,107,1,Canceled
INN09624,1,0,0,2,Not Selected,0,Room_Type 1,0,2018,3,1,Online,0,0,0,89,1,Not_Canceled
INN09625,2,0,0,3,Meal Plan 1,0,Room_Type 1,76,2018,4,27,Online,0,0,0,106.5,1,Canceled
INN09626,2,0,0,2,Not Selected,0,Room_Type 1,85,2018,10,27,Online,0,0,0,80.1,0,Canceled
INN09627,2,0,0,2,Meal Plan 1,0,Room_Type 1,238,2018,9,21,Online,0,0,0,126.9,1,Canceled
INN09628,2,0,2,2,Meal Plan 1,0,Room_Type 1,60,2017,10,25,Online,0,0,0,89.25,2,Not_Canceled
INN09629,2,0,3,8,Meal Plan 1,0,Room_Type 4,28,2017,10,12,Online,0,0,0,107.92,1,Not_Canceled
INN09630,2,0,0,2,Meal Plan 2,0,Room_Type 1,239,2018,6,15,Offline,0,0,0,112.2,0,Canceled
INN09631,1,0,0,3,Meal Plan 1,0,Room_Type 1,46,2018,3,3,Online,0,0,0,73.9,0,Canceled
INN09632,2,0,1,1,Meal Plan 1,0,Room_Type 1,188,2018,8,13,Online,0,0,0,105.3,0,Canceled
INN09633,2,0,2,2,Not Selected,0,Room_Type 1,112,2018,7,17,Online,0,0,0,94.5,1,Not_Canceled
INN09634,2,0,2,2,Meal Plan 1,1,Room_Type 1,193,2018,8,12,Online,0,0,0,108.45,1,Canceled
INN09635,2,0,0,5,Meal Plan 1,0,Room_Type 4,109,2018,8,9,Online,0,0,0,127.8,1,Not_Canceled
INN09636,2,2,0,1,Meal Plan 1,0,Room_Type 2,15,2018,3,8,Online,0,0,0,83.03,0,Canceled
INN09637,2,0,0,3,Meal Plan 1,0,Room_Type 1,160,2017,12,30,Offline,0,0,0,130.67,0,Not_Canceled
INN09638,2,0,0,1,Meal Plan 1,0,Room_Type 1,27,2018,6,9,Offline,0,0,0,120,0,Not_Canceled
INN09639,1,0,0,1,Meal Plan 1,0,Room_Type 1,13,2018,6,23,Online,0,0,0,95,1,Not_Canceled
INN09640,2,0,1,2,Meal Plan 1,0,Room_Type 1,280,2018,9,19,Offline,0,0,0,110,0,Canceled
INN09641,2,0,1,2,Meal Plan 1,0,Room_Type 1,75,2017,11,16,Online,0,0,0,52.85,1,Not_Canceled
INN09642,2,0,1,3,Not Selected,0,Room_Type 1,42,2018,4,28,Online,0,0,0,109.31,1,Not_Canceled
INN09643,2,0,1,2,Meal Plan 1,0,Room_Type 1,101,2018,4,4,Offline,0,0,0,80,0,Canceled
INN09644,2,0,2,2,Meal Plan 1,0,Room_Type 1,9,2018,12,4,Online,0,0,0,88.4,2,Not_Canceled
INN09645,2,0,0,3,Not Selected,0,Room_Type 1,58,2018,12,15,Online,0,0,0,79.2,0,Canceled
INN09646,2,0,0,2,Meal Plan 1,0,Room_Type 1,29,2018,10,5,Online,0,0,0,152,2,Not_Canceled
INN09647,1,0,0,2,Not Selected,0,Room_Type 1,180,2018,10,28,Online,0,0,0,80.1,0,Canceled
INN09648,2,0,2,4,Meal Plan 1,0,Room_Type 1,160,2018,4,27,Offline,0,0,0,90,0,Canceled
INN09649,1,0,0,3,Meal Plan 1,0,Room_Type 4,11,2018,6,14,Corporate,0,0,0,90,0,Not_Canceled
INN09650,1,0,3,5,Meal Plan 1,0,Room_Type 1,2,2017,8,9,Online,0,0,0,80,1,Not_Canceled
INN09651,2,1,0,3,Meal Plan 1,0,Room_Type 1,280,2018,12,6,Online,0,0,0,94.5,2,Canceled
INN09652,2,0,0,3,Meal Plan 1,0,Room_Type 1,12,2017,8,5,Corporate,0,0,0,65,0,Not_Canceled
INN09653,2,0,2,2,Meal Plan 1,0,Room_Type 1,123,2018,11,6,Online,0,0,0,151.43,1,Not_Canceled
INN09654,2,0,2,3,Meal Plan 1,0,Room_Type 4,16,2018,4,8,Online,0,0,0,131.2,0,Canceled
INN09655,2,0,0,1,Meal Plan 1,0,Room_Type 1,10,2017,11,3,Online,0,0,0,82.39,1,Not_Canceled
INN09656,1,0,0,2,Meal Plan 1,0,Room_Type 4,0,2017,8,11,Complementary,0,0,0,0,2,Not_Canceled
INN09657,2,0,2,5,Not Selected,0,Room_Type 1,168,2018,7,2,Online,0,0,0,62.18,1,Not_Canceled
INN09658,2,1,0,2,Meal Plan 1,0,Room_Type 1,156,2018,8,23,Online,0,0,0,121.5,0,Canceled
INN09659,1,0,2,4,Meal Plan 1,0,Room_Type 1,2,2018,11,25,Online,0,0,0,91.38,0,Not_Canceled
INN09660,2,0,2,1,Meal Plan 1,0,Room_Type 1,221,2017,10,17,Offline,0,0,0,65,0,Not_Canceled
INN09661,1,0,0,2,Meal Plan 1,0,Room_Type 1,12,2018,12,8,Corporate,1,0,7,67,1,Not_Canceled
INN09662,2,0,1,3,Meal Plan 1,0,Room_Type 1,42,2018,4,21,Online,0,0,0,103.84,1,Not_Canceled
