no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,required_car_parking_space,lead_time,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,no_of_special_requests,label_avg_price_per_room,type_of_meal_plan_Meal Plan 1,type_of_meal_plan_Meal Plan 2,type_of_meal_plan_Not Selected,room_type_reserved_Room_Type 1,room_type_reserved_Room_Type 2,room_type_reserved_Room_Type 4,room_type_reserved_Room_Type 5,room_type_reserved_Room_Type 6,room_type_reserved_Room_Type 7,market_segment_type_Aviation,market_segment_type_Complementary,market_segment_type_Corporate,market_segment_type_Offline,market_segment_type_Online,booking_status_Canceled,booking_status_Not_Canceled
2,0,1,2,0,224,0,0,0,0,1,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
2,0,2,3,0,5,0,0,0,1,2,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True
1,0,2,1,0,1,0,0,0,0,1,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False
2,0,0,2,0,211,0,0,0,0,2,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False
2,0,1,1,0,48,0,0,0,0,2,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False
2,0,0,2,0,346,0,0,0,1,2,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False
2,0,1,3,0,34,0,0,0,1,2,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,1,3,0,83,0,0,0,1,2,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
3,0,0,4,0,121,0,0,0,1,2,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
2,0,0,5,0,44,0,0,0,3,3,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
1,0,1,0,0,0,0,0,0,0,2,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True
1,0,2,1,0,35,0,0,0,1,3,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
2,0,2,1,0,30,0,0,0,0,2,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False
1,0,2,0,0,95,0,0,0,2,2,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False
2,0,0,2,0,47,0,0,0,2,2,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,0,2,0,256,0,0,0,1,2,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False
1,0,1,0,0,0,0,0,0,0,2,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
2,0,1,3,0,1,0,0,0,1,2,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,2,2,0,99,0,0,0,0,1,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False
2,0,1,0,0,12,0,0,0,0,1,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
2,0,2,2,0,99,0,0,0,0,1,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False
1,0,0,1,0,122,0,0,0,0,1,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
2,0,2,4,0,2,0,0,0,0,1,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
2,0,0,3,0,37,0,0,0,0,2,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
2,0,2,1,0,130,0,0,0,1,2,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,0,2,0,99,0,0,0,1,2,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,1,1,0,60,0,0,0,0,1,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
1,0,0,2,0,2,0,0,0,0,2,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
1,0,1,2,0,37,0,0,0,0,1,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False
2,0,0,2,0,56,0,0,0,0,1,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True
2,0,1,1,0,3,0,0,0,1,3,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
2,0,2,2,0,107,0,0,0,1,2,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
0,2,0,3,0,56,0,0,0,1,1,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True
2,0,0,1,0,2,0,0,0,1,1,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,0,2,0,72,0,0,0,0,2,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
2,0,0,1,1,23,0,0,0,1,2,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True
1,0,2,1,0,34,0,0,0,0,1,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False
2,0,0,1,0,289,0,0,0,0,1,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
2,0,2,3,0,247,0,0,0,0,1,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False
2,0,2,1,0,186,0,0,0,1,3,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False
2,0,0,4,0,64,0,0,0,2,2,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,0,2,0,35,0,0,0,1,2,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
3,0,2,1,0,96,0,0,0,1,3,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,1,1,0,41,0,0,0,1,2,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False
2,0,0,4,0,55,0,0,0,1,1,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
2,0,0,3,0,146,0,0,0,0,1,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
1,0,0,2,0,32,0,0,0,0,1,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
2,0,0,1,0,55,0,0,0,0,2,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True
2,0,0,4,0,57,0,0,0,1,1,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True
1,0,1,3,0,7,0,0,0,2,3,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
1,0,2,5,0,124,0,0,0,0,2,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,2,2,0,169,0,0,0,0,2,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False
1,0,1,2,0,6,0,0,0,1,3,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,0,4,0,51,0,0,0,1,1,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
2,0,1,0,0,13,0,0,0,2,2,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,1,3,0,100,0,0,0,1,3,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,0,1,0,139,0,0,0,1,2,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,1,2,0,117,0,0,0,2,2,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,1,4,0,39,0,0,0,0,3,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False
2,0,0,3,0,86,0,0,0,1,2,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
2,2,0,1,1,2,0,0,0,1,3,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True
1,0,0,3,0,19,0,0,0,2,3,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
1,0,0,2,0,192,0,0,0,0,2,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
1,0,0,1,0,2,0,0,0,1,1,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
2,0,2,1,0,86,0,0,0,0,1,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
2,0,0,3,0,30,0,0,0,2,3,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
2,0,0,2,0,179,0,0,0,1,2,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
2,0,0,2,0,26,0,0,0,0,3,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False
2,0,0,1,0,55,0,0,0,0,1,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
2,0,1,2,0,74,0,0,0,1,2,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,0,3,0,143,0,0,0,0,2,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
2,0,1,0,0,34,0,0,0,2,2,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,1,1,1,30,0,0,0,1,3,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,0,2,0,177,0,0,0,0,2,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False
2,0,2,3,0,34,0,0,0,0,1,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
2,0,1,4,0,18,0,0,0,1,3,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
3,0,1,1,0,267,0,0,0,0,3,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
2,0,1,2,0,64,0,0,0,1,2,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
3,0,2,5,0,155,0,0,0,2,3,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False
2,0,0,5,0,46,0,0,0,1,1,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
2,2,0,2,0,83,0,0,0,0,3,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False
2,0,0,5,0,128,0,0,0,0,3,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False
2,0,2,0,0,20,0,0,0,2,2,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,1,4,0,40,0,0,0,0,2,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
2,0,1,2,1,46,0,0,0,1,2,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
1,0,1,0,0,1,0,0,0,2,3,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,2,3,0,196,0,0,0,1,2,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True
1,0,0,2,0,188,0,0,0,0,3,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False
2,0,0,1,0,17,1,0,5,0,2,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,0,3,0,146,0,0,0,0,2,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True
2,0,1,3,0,110,0,0,0,1,2,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,1,2,1,68,0,0,0,0,2,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,2,1,0,73,0,0,0,1,3,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
2,0,0,1,0,92,0,0,0,1,3,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
2,0,2,5,0,171,0,0,0,0,2,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False
2,1,0,2,1,134,0,0,0,2,3,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,0,2,0,320,0,0,0,1,2,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False
2,0,0,4,0,118,0,0,0,1,2,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,0,3,0,30,0,0,0,1,1,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
2,2,1,3,0,30,0,0,0,0,3,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True
2,0,1,0,0,189,0,0,0,2,2,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True
3,0,1,2,0,55,0,0,0,2,3,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
1,0,0,4,0,55,0,0,0,2,1,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,0,1,0,16,0,0,0,1,2,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,0,3,0,24,0,0,0,1,2,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,0,3,0,8,0,0,0,0,1,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
2,0,1,4,1,10,0,0,0,0,1,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,1,3,0,0,0,0,0,1,3,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
2,0,0,1,0,12,0,0,0,1,2,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,2,1,0,32,0,0,0,3,2,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,0,2,0,182,0,0,0,2,3,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False
2,0,1,0,0,1,0,0,0,1,3,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,0,3,0,122,0,0,0,2,3,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,2,3,0,40,0,0,0,1,3,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
2,2,2,2,0,116,0,0,0,1,3,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False
3,0,2,2,1,123,0,0,0,1,3,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
3,0,2,5,0,40,0,0,0,0,3,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False
2,1,2,5,0,105,0,0,0,3,2,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,0,1,0,443,0,0,0,0,1,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False
2,0,2,3,0,2,0,0,0,1,2,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,0,3,0,317,0,0,0,1,2,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False
2,0,0,2,0,286,0,0,0,0,1,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True
2,0,1,3,0,68,0,0,0,0,1,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False
2,0,0,3,0,148,0,0,0,0,2,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
3,0,2,0,0,68,0,0,0,2,3,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
2,0,0,2,0,30,0,0,0,0,2,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
1,0,0,1,0,14,0,0,0,1,2,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False
2,2,0,2,0,110,0,0,0,0,3,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False
1,0,2,3,0,117,0,0,0,0,2,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
2,0,1,4,0,85,0,0,0,1,2,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
2,0,0,2,0,1,0,0,0,2,3,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True
1,0,1,2,0,25,0,0,0,2,3,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,2,4,0,289,0,0,0,2,1,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False
2,0,1,4,0,28,0,0,0,0,1,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
1,0,0,4,0,80,0,0,0,0,1,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,0,1,0,11,0,0,0,2,3,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
2,1,1,0,0,162,0,0,0,2,3,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False
2,0,2,5,0,155,0,0,0,2,2,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
1,0,2,2,0,82,0,0,0,0,2,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
3,0,2,4,0,27,0,0,0,0,3,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False
1,0,1,2,0,13,0,0,0,0,2,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
2,0,0,2,0,245,0,0,0,0,1,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False
2,0,0,2,0,11,0,0,0,1,2,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False
2,0,2,2,0,266,0,0,0,2,2,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,1,0,0,39,0,0,0,1,3,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
1,0,0,2,0,13,1,3,5,1,1,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
2,0,0,4,0,112,0,0,0,1,2,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,1,2,0,88,0,0,0,1,1,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,0,1,0,56,0,0,0,0,3,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
2,0,2,3,0,73,0,0,0,0,2,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False
2,0,1,1,0,80,0,0,0,1,3,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,0,3,0,130,0,0,0,2,3,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False
2,0,1,3,0,69,0,0,0,1,1,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,0,2,0,273,0,0,0,0,2,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False
2,0,0,1,0,55,0,0,0,0,2,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True
1,0,0,3,0,4,1,1,5,1,1,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
2,0,0,3,0,97,0,0,0,0,3,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
2,0,0,3,0,44,0,0,0,0,1,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
2,0,0,1,0,31,0,0,0,0,2,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False
2,0,1,0,0,0,0,0,0,0,2,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,2,2,0,62,0,0,0,2,2,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,2,2,0,86,0,0,0,1,2,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
